Domain,Company Name,LinkedIn URL,Official Email ID (To Be Filled)
Hardware,Honeywell,https://www.linkedin.com/company/honeywell,india@honeywell.com
Hardware,Larsen & Toubro,https://www.linkedin.com/company/larsen-&-toubro,contactus@larsentoubro.com
Hardware,Tata Elxsi,https://www.linkedin.com/company/tata-elxsi,marketing@tataelxsi.co.in
Hardware,Robert Bosch GmbH,https://www.linkedin.com/company/bosch,contact@bosch.com
Hardware,Microchip Technology,https://www.linkedin.com/company/microchip-technology,india@microchip.com
Hardware,Analog Devices,https://www.linkedin.com/company/analog-devices,india@analog.com
Hardware,Keysight Technologies,https://www.linkedin.com/company/keysight-technologies,india.marketing@keysight.com
Hardware,National Instruments,https://www.linkedin.com/company/national-instruments,nan
Hardware,Rockwell Automation,https://www.linkedin.com/company/rockwell-automation,ccareindia@ra.rockwell.com
Hardware,ABB,https://www.linkedin.com/company/abb,contact.center@in.abb.com
Designathon,Canva,linkedin.com/company/canva,partnerships@canva.com
Designathon,Adobe,linkedin.com/company/adobe,creativecloud-partners@adobe.com
Designathon,Figma,linkedin.com/company/figma,community@figma.com
Designathon,InVision,linkedin.com/company/invisionapp,marketing@invisionapp.com
Designathon,Dribbble,linkedin.com/company/dribbble,partnerships@dribbble.com
Designathon,Behance,linkedin.com/company/behance,behance-partners@adobe.com
Designathon,Framer,linkedin.com/company/framer,partnerships@framer.com
Designathon,Webflow,linkedin.com/company/webflow,marketing@webflow.com
Designathon,Wix,linkedin.com/company/wix-com,partners@wix.com
Designathon,Zebra Tech,linkedin.com/company/zebra-technologies,channel.marketing@zebra.com
Designathon,Autodesk,linkedin.com/company/autodesk,marketing.communications@autodesk.com
Designathon,Myntra,linkedin.com/company/myntra,brand.partnerships@myntra.com
Designathon,Nykaa,linkedin.com/company/nykaa,marketing@nykaa.com
Designathon,Tata Cliq,linkedin.com/company/tata-cliq,brand.marketing@tatacliq.com
Designathon,Swiggy,linkedin.com/company/swiggy-in,adsales@swiggy.in
Designathon,OYO,linkedin.com/company/oyorooms,marketing@oyorooms.com
Designathon,Zeta,linkedin.com/company/zeta-india,marketing@zeta.tech
Designathon,Atlassian,linkedin.com/company/atlassian,marketing@atlassian.com
Designathon,Notion,linkedin.com/company/notionhq,community@makenotion.com
Designathon,Spotify,linkedin.com/company/spotify,brand
Gameathon,Unity Technologies,linkedin.com/company/unity-technologies,partnerships@unity3d.com
Gameathon,Epic Games,linkedin.com/company/epic-games,pr@epicgames.com
Gameathon,Nazara Technologies,linkedin.com/company/nazara-technologies,info@nazara.com
Gameathon,Ubisoft,linkedin.com/company/ubisoft,press@ubisoft.com
Gameathon,Electronic Arts,(EA),communications@ea.com
Gameathon,Rockstar Games,linkedin.com/company/rockstar-games,mouthoff@rockstargames.com
Gameathon,Valve Corporation,linkedin.com/company/valve-corporation,biz@valvesoftware.com
Gameathon,Supercell,linkedin.com/company/supercell,info@supercell.com
Gameathon,Riot Games,linkedin.com/company/riot-games,partnerships@riotgames.com
Gameathon,Krafton,linkedin.com/company/krafton-inc,pubgmobile_business@krafton.com
Gameathon,Dream11,linkedin.com/company/dream11,marketing@dream11.com
Gameathon,Mobile Premier League,linkedin.com/company/mpl,press@mpl.com
Gameathon,JetSynthesys,linkedin.com/company/jetsynthesys,contact@jetsynthesys.com
Gameathon,Octro,linkedin.com/company/octro-inc-,marketing@octro.com
Gameathon,Nodwin Gaming,linkedin.com/company/nodwin-gaming,info@nodwin.com
Gameathon,Intel Gaming,linkedin.com/company/intel-corporation,intel.gaming@intel.com
Gameathon,AMD Gaming,linkedin.com/company/amd,gaming.partnerships@amd.com
Gameathon,Sony Interactive,linkedin.com/company/playstation,playstation-partnerships@sony.com
Gameathon,Microsoft Xbox,linkedin.com/company/xbox,xboxpress@microsoft.com
Gameathon,Tencent Games,linkedin.com/company/tencent-games,global_partnerships@tencent.com
